margin_rate,churn_penalty,review_cost,review_catch_rate,t_profit_single,t_review,t_decline,val_reviews_per_day,nb1000_profit_three_way,nb1000_profit_single,nb1000_youden_single,nb1000_rules,decline_rate_val_at_t_profit
0.005,25.0,20.0,0.65,0.007400600268116356,0.0073380441657798345,0.0073380441657798345,0.0,2227.0919466928513,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,25.0,20.0,0.8,0.007400600268116356,0.0073380441657798345,0.0073380441657798345,0.0,2227.0919466928513,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,25.0,20.0,0.85,0.007400600268116356,0.0073380441657798345,0.0073380441657798345,0.0,2227.0919466928513,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,25.0,20.0,0.95,0.007400600268116356,0.007298659731705749,0.011478311826033219,32.28255786917195,2266.4031328388646,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,25.0,20.0,0.98,0.007400600268116356,0.007298659731705749,0.011478311826033219,32.28255786917195,2271.9410337431223,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,50.0,1.0,0.5,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2031.6457708199214,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,1.0,0.65,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2099.5733540488304,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,1.0,0.8,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2167.5009372777395,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,1.0,0.85,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2190.143465020709,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,1.0,0.95,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2235.428520506648,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,1.0,0.98,0.019,0.01718686504639152,0.05468869142959353,33.396847341973746,2303.4824812883066,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.5,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2009.8690918481332,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.65,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2077.796675077042,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.8,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2145.724258305951,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.85,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2168.3667860489204,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.95,0.019,0.013081926009533843,0.03212857077224325,34.32011576229523,2213.6518415348596,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
0.005,50.0,2.5,0.98,0.019,0.01718686504639152,0.05468869142959353,33.396847341973746,2280.87605327327,1749.3245044648347,-2191.3803097729756,-767.320732606315,0.03557196238471004
